Player,EVENTS PLAYED,PGA TOUR WINS,INTERNATIONAL WINS,CUTS MADE,RUNNER UP,THIRD PLACE FINISHES,TOP 5 FINISHES,TOP 10 FINISHES,YEAR JOINED TOUR,OFFICIAL MONEY,ALL WINS,FEDEXCUP CHAMPION
Brian Claar,369,0,0,228/369,1,2,8,23,-,"$2,225,850",,
Luke Clanton,13,0,0,10/13,2,0,3,4,-,$0,,
Clarence Clark,89,7,0,86/89,5,8,30,49,-,"$8,368",,
Howard Clark,26,0,0,14/26,0,0,0,0,-,"$56,422",,
Jimmy Clark,284,2,0,246/284,2,7,18,31,-,"$61,252",,
Tim Clark,309,2,4,211/309,13,2,26,54,2001,"$23,942,321",,
Wyndham Clark,174,3,0,116/174,3,3,12,26,2019,"$27,889,960",,
Michael Clark II,144,1,0,53/144,0,0,2,4,1999,"$1,670,485",,
Darren Clarke,173,3,15,105/173,3,6,15,27,2003,"$8,733,277",,
Paul Claxton,108,0,0,42/108,0,0,0,0,-,"$622,192",,
Will Claxton,73,0,0,35/73,0,0,1,2,2012,"$1,055,852",,
Keith Clearwater,414,2,0,201/414,2,1,11,27,-,"$2,365,698",,
Lennie Clements,456,0,0,263/456,1,3,13,36,-,"$2,280,766",,
John Cleary,58,0,0,31/58,0,0,1,1,-,"$1,516",,
José Coceres,159,2,9,84/159,2,1,7,12,2001,"$5,337,955",,
Bobby Cochran,35,0,0,10/35,0,0,0,0,-,"$134,797",,
Russ Cochran,600,1,0,357/600,8,4,26,58,1979,"$5,579,837",,
Herman Coelho,46,0,0,35/46,0,0,0,0,-,$619,,
Charles Coe,38,0,0,34/38,1,0,1,5,-,$0,,
George Coetzee,44,0,15,30/44,0,0,0,2,-,"$854,141",,
Gene Coghill,39,0,0,30/39,0,0,0,0,-,"$2,707",,
Gavin Cohen,1,0,0,0/1,0,0,0,0,-,$0,,
Jim Colbert,586,8,7,436/586,6,7,36,71,-,"$1,553,136",,
Bobby Cole,390,1,0,264/390,2,6,12,28,-,"$535,130",,
Eric Cole,88,0,0,61/88,2,2,7,13,2023,"$10,510,651",,
Fay Coleman,48,0,0,43/48,1,4,6,10,-,"$1,993",,
Gavin Coles,124,0,0,63/124,0,0,0,4,-,"$1,663,463",,
Don Collett,32,0,0,18/32,0,0,0,1,-,"$2,002",,
Bill Collins,276,4,0,232/276,7,5,24,47,-,"$190,261",,
Chad Collins,199,0,0,86/199,1,1,4,8,2008,"$4,012,676",,
Cougar Collins,2,0,0,0/2,0,0,0,0,-,$0,,
Jock Collins,29,1,0,26/29,1,2,5,6,-,$262,,
Tim Collins,61,0,0,27/61,0,0,1,2,-,"$24,007",,
Wil Collins,25,0,0,6/25,0,0,0,0,-,"$95,769",,
Bruce Coltart,38,0,0,34/38,0,2,4,14,-,"$5,787",,
Nicolas Colsaerts,45,0,5,22/45,0,0,0,5,2012,"$1,387,269",,
Ron Commans,59,0,0,17/59,0,0,0,1,-,"$14,246",,
Archie Compston,11,2,0,11/11,2,1,7,8,-,$900,,
Erik Compton,170,0,0,95/170,1,0,4,5,2012,"$4,111,534",,
Byron Comstock,61,0,0,32/61,0,0,0,0,-,"$12,586",,
Trevor Cone,39,0,0,15/39,0,1,1,1,2023,"$526,653",,
Charles Congdon,52,1,0,50/52,2,1,7,14,-,"$15,819",,
Tim Conley,59,0,0,24/59,0,0,1,1,-,"$233,764",,
Michael Connell,76,0,0,36/76,0,0,0,2,-,"$1,262,568",,
Frank Conner,457,0,0,240/457,4,0,6,20,-,"$750,733",,
Corey Conners,201,2,0,150/201,1,4,10,32,2018,"$26,850,185",,
Joe Conrad,74,0,0,57/74,0,0,0,2,-,"$10,960",,
Charles Coody,629,3,0,476/629,8,10,48,84,-,"$1,187,762",,
Pierceson Coody,41,0,0,21/41,1,0,2,2,-,"$1,478,791",,
Parker Coody,26,0,0,10/26,0,0,0,1,-,"$401,279",,
Austin Cook,188,1,0,92/188,1,0,4,10,2018,"$6,697,249",,
Jeff Cook,32,0,0,13/32,0,0,0,0,-,"$72,398",,
John Cook,,,,,,,,,,,,
John Cook,796,11,0,538/796,10,10,58,100,-,"$12,685,199",,
Carl Cooper,100,0,0,27/100,0,0,0,0,-,"$115,317",,
Lawrence Cook,26,0,0,15/26,0,0,0,0,-,$430,,
Ross Coon,29,0,0,14/29,0,0,0,1,-,"$5,122",,
Harry Cooper,296,29,0,290/296,37,23,118,191,-,"$76,000",,
Pete Cooper,223,4,0,203/223,5,5,26,55,-,"$63,681",,
Gene Cotchonis,32,0,0,22/32,0,0,0,0,-,"$1,132",,
Jeff Coston,63,0,0,15/63,0,0,0,1,-,"$29,767",,
Kawika Cotner,32,0,0,15/32,0,0,0,0,-,"$60,017",,
Henry Cotton,7,1,0,6/7,0,0,0,0,-,"$1,413",,
Chris Couch,198,1,0,76/198,0,0,4,8,1999,"$4,287,838",,
Richie Coughlan,65,0,0,28/65,0,0,0,1,-,"$268,212",,
Charles Courtney,333,2,0,244/333,3,2,13,30,-,"$310,699",,
Fred Couples,623,15,5,492/623,17,23,87,161,1981,"$22,860,334",,
Vince Covello,15,0,0,2/15,0,0,0,0,2020,"$28,451",,
John Cowan,14,1,0,12/14,2,1,5,8,-,$0,,
Kris Cox,71,0,0,23/71,0,1,1,1,-,"$759,736",,
Wiffy Cox,140,9,0,137/140,7,9,40,72,-,"$12,159",,
Rick Cramer,34,0,0,10/34,0,0,0,0,-,"$9,745",,
Bruce Crampton,513,14,0,468/513,19,20,83,136,-,"$1,376,193",,
Ben Crane,454,5,1,288/454,5,3,20,48,2002,"$21,751,932",,
Richard Crawford,345,0,0,264/345,3,2,13,27,-,"$305,500",,
Connor Creasy,1,0,0,0/1,0,0,0,0,-,$0,,
Tom Creavy,63,4,0,62/63,4,3,18,23,-,"$1,695",,
William Creavy,30,1,0,29/30,0,2,7,15,-,$563,,
Ben Crenshaw,659,19,5,457/659,22,19,87,144,1973,"$7,139,756",,
Marshall Crichton,16,1,0,13/16,0,0,3,6,-,$100,,
Otey Crisman,29,0,0,25/29,0,0,0,3,-,"$1,529",,
Richard Cromwell,29,0,0,9/29,0,0,0,0,-,"$12,660",,
Bob Crow,65,0,0,47/65,0,0,0,0,-,$563,,
Trace Crowe,29,0,0,16/29,0,0,0,1,-,"$858,174",,
Bob Crowley,29,0,0,18/29,0,0,2,3,-,"$7,319",,
Bobby Cruickshank,209,17,0,202/209,19,19,73,123,-,"$26,280",,
Jay Cudd,62,0,0,28/62,1,0,1,1,-,"$33,338",,
Quade Cummins,16,0,0,8/16,0,0,0,0,2025,"$277,037",,
Michael Cunning,47,0,0,12/47,0,0,0,1,-,"$59,133",,
Buster Cupit,89,0,0,74/89,2,4,9,13,-,"$34,729",,
Jack Curley,23,1,0,19/23,1,0,4,9,-,$100,,
Jacky Cupit,272,4,0,226/272,6,6,22,51,-,"$244,204",,
Rod Curl,497,1,0,295/497,3,3,21,46,-,"$677,009",,
Jon Curran,93,0,0,44/93,2,0,3,8,2015,"$3,172,284",,
Paul Curry,27,0,0,8/27,0,0,0,0,-,"$141,494",,
Ben Curtis,290,4,0,162/290,3,1,14,19,2003,"$13,779,910",,
MJ Daffue,58,0,0,33/58,0,0,0,0,2023,"$1,265,246",,
Joel Dahmen,221,1,0,146/221,3,1,10,26,2017,"$13,340,976",,
Jess Daley,29,0,0,10/29,0,0,0,0,-,"$154,675",,
Joe Daley,60,0,0,23/60,0,0,0,1,-,"$155,537",,
Rick Dalpos,174,0,0,64/174,0,0,0,1,-,"$158,139",,
John Daly,548,5,4,276/548,4,3,23,35,1991,"$10,270,681",,
Robert Damron,331,1,0,184/331,2,3,9,19,1997,"$6,363,926",,
Jack Davidson,1,1,1,1/1,0,0,1,1,-,$0,,
Cam Davis,163,2,1,105/163,0,3,8,21,2019,"$16,920,822",,
Brian Davis,386,0,2,219/386,5,1,11,28,2005,"$13,382,405",,
H. Davis,2,1,0,1/2,0,0,1,1,-,$0,,
John Dawson,52,1,0,50/52,2,0,7,13,-,$50,,
Ed Davis,34,0,0,19/34,0,0,0,0,-,"$1,759",,
Glen Day,477,1,1,277/477,4,5,15,38,1994,"$9,241,922",,
Marco Dawson,414,0,1,215/414,1,1,7,18,1991,"$4,341,727",,
Jason Day,363,13,0,281/363,11,7,57,98,2008,"$63,508,235",,
Brendon de Jonge,317,0,1,192/317,2,3,10,28,2007,"$11,568,484",,
Manuel De La Torre,73,0,0,57/73,1,1,2,4,-,"$12,650",,
Santiago de la Fuente,9,0,0,3/9,0,0,0,0,-,"$31,790",,
Roberto De Vicenzo,125,5,208,115/125,5,5,21,40,1947,"$201,100",,
Bryson DeChambeau,149,9,1,106/149,6,3,27,41,-,"$35,270,287",,
Henry Decker,6,1,0,5/6,0,0,1,1,-,$0,,
Harry Dee,53,0,0,39/53,0,0,0,1,-,"$1,723",,
John DeForest,39,0,0,4/39,0,0,0,0,-,"$4,292",,
Perry Del Vecchio,16,1,0,8/16,2,0,4,4,-,$50,,
Cristobal Del Solar,12,0,0,4/12,0,0,0,0,2025,"$69,446",,
Alejandro Del Rey,3,0,3,2/3,0,0,0,0,-,"$141,972",,
Jay Delsing,565,0,0,276/565,2,3,11,30,-,"$3,608,666",,
Graham DeLaet,186,0,1,124/186,3,3,12,33,2010,"$11,265,285",,
Arthur Demane,40,1,0,38/40,1,2,8,12,-,$235,,
Mike Demassey,31,0,0,29/31,0,0,0,1,-,"$2,628",,
Jimmy Demaret,337,31,0,318/337,28,26,115,169,-,"$210,275",,
Rolf Deming,89,0,0,57/89,1,0,5,9,-,"$37,607",,
Clark Dennis,211,0,0,88/211,0,2,3,9,-,"$1,154,975",,
Todd Demsey,61,0,0,27/61,0,0,0,0,-,"$274,115",,
Jim Dent,450,0,0,296/450,1,2,6,25,-,"$564,809",,
Thomas Detry,75,1,1,58/75,2,0,6,10,2023,"$9,494,482",,
Bruce Devlin,395,8,0,313/395,11,7,39,78,-,"$907,069",,
Sal Dibuono,39,0,0,37/39,3,0,5,9,-,$545,,
Roberto Díaz,63,0,0,31/63,0,0,0,2,2018,"$956,873",,
Gardner Dickinson,477,7,0,397/477,12,10,44,95,-,"$534,761",,
Bubba Dickerson,67,0,0,31/67,0,0,1,3,-,"$807,749",,
Leo Diegel,149,28,0,148/149,23,16,86,113,-,"$11,781",,
Bob Dickson,233,2,0,171/233,2,3,9,18,-,"$296,640",,
Taylor Dickson,11,0,0,4/11,0,0,0,0,2025,"$82,681",,
Terry Diehl,257,1,0,147/257,2,4,9,21,-,"$404,611",,
Mike Dietz,127,0,0,102/127,0,0,0,3,-,"$6,984",,
Andy Dillard,84,0,0,41/84,0,0,1,2,-,"$183,489",,
Terry Dill,269,0,0,206/269,1,3,14,27,-,"$255,050",,
Chris DiMarco,518,3,1,334/518,12,8,33,63,1994,"$22,656,443",,
Matt Dobyns,16,0,0,3/16,0,0,0,0,-,"$35,471",,
Steve Doctor,36,0,0,26/36,0,0,0,0,-,$420,,
Trevor Dodds,306,1,0,144/306,0,2,4,12,-,"$1,940,834",,
Leonard Dodson,129,3,0,116/129,3,4,17,39,-,"$17,469",,
Art Doering,153,1,0,129/153,0,1,8,15,-,"$19,553",,
Andrew Dodt,5,0,2,5/5,0,0,0,0,-,"$46,610",,
Jay Dolan,112,0,0,77/112,1,0,2,3,-,"$33,807",,
Luke Donald,430,5,8,292/430,16,11,42,79,2002,"$37,686,580",,
Jamie Donaldson,62,0,7,40/62,1,0,1,6,2014,"$2,362,603",,
Mike Donald,550,1,0,296/550,6,6,20,31,-,"$1,970,260",,
Robert Donald,27,0,0,5/27,0,0,0,0,-,"$4,676",,
Clarence Doser,88,4,0,74/88,1,2,10,15,-,"$14,259",,
Zecheng Dou,69,0,0,29/69,0,0,1,1,2018,"$1,234,467",,
Jackie Doss,26,0,0,14/26,0,0,0,0,-,$59,,
Nick Dougherty,25,0,0,15/25,0,0,0,1,-,"$366,627",,
Ed Dougherty,488,1,0,243/488,3,2,9,19,-,"$1,323,769",,
Kevin Dougherty,31,0,0,9/31,0,0,0,0,-,"$242,846",,
Sean Dougherty,2,0,0,0/2,0,0,0,0,-,$0,,
Dale Douglass,531,3,0,365/531,7,2,18,45,-,"$577,950",,
Dave Douglas,250,8,0,236/250,3,5,29,60,-,"$84,991",,
Bruce Douglass,84,0,0,47/84,1,0,1,1,-,"$67,130",,
John Dowdall,72,0,0,18/72,0,0,0,0,-,"$69,984",,
Jack Dowling,17,1,0,17/17,0,2,5,10,-,$37,,
Patrick Doyle,62,1,0,61/62,3,4,14,23,-,$105,,
Connor Doyal,1,0,0,0/1,0,0,0,0,-,$0,,
Allen Doyle,67,0,2,34/67,0,0,0,2,-,"$245,923",,
Bradley Dredge,16,0,4,8/16,0,0,0,0,-,"$125,358",,
Brett Drewitt,46,0,0,18/46,0,0,0,0,2017,"$398,921",,
Victor Dubuisson,26,0,2,18/26,1,0,1,3,2014,"$1,062,610",,
James Driscoll,243,0,0,119/243,2,0,4,10,2005,"$5,794,432",,
Jesse Droemer,4,0,0,0/4,0,0,0,0,-,$0,,
Stan Dudas,51,0,0,33/51,0,0,0,0,-,"$2,635",,
Bob Duden,229,0,0,198/229,3,1,5,21,-,"$51,567",,
Ed Dudley,194,13,0,188/194,11,15,67,121,-,"$30,677",,
Ken Duke,314,1,3,182/314,3,1,9,25,2004,"$10,836,211",,
Jason Dufner,446,5,0,280/446,6,2,22,47,2004,"$28,315,125",,
Adrien Dumont de Chassart,30,0,0,13/30,0,1,1,2,-,"$852,106",,
Doug Dunakey,96,0,0,38/96,0,1,3,3,-,"$779,305",,
Skip Dunaway,84,0,0,34/84,0,0,0,1,-,"$24,541",,
Tyler Duncan,208,1,0,110/208,0,3,6,7,2018,"$7,116,165",,
George Duncan,12,1,0,10/12,0,0,4,8,-,$0,,
Billy Dunk,39,0,0,34/39,0,1,1,3,-,"$18,245",,
Bob Dunkelberger,4,1,0,4/4,0,0,1,1,-,$0,,
Nick Dunlap,37,2,0,22/37,0,0,3,5,2024,"$3,585,259",,
Paul Dunne,16,0,1,9/16,0,0,1,2,-,"$480,604",,
Joe Durant,446,4,0,254/446,4,4,21,38,1993,"$14,181,693",,
Scott Dunlap,204,0,9,105/204,0,3,3,13,1996,"$2,930,471",,
Mortie Dutra,90,0,0,87/90,3,4,14,42,-,"$4,041",,
Olin Dutra,96,10,0,90/96,8,5,35,50,-,"$13,421",,
David Duval,439,13,1,222/439,14,10,45,68,1995,"$18,983,931",,
R.W. Eaks,77,0,0,23/77,0,0,0,2,-,"$291,734",,
Simon Dyson,30,0,9,18/30,0,0,0,2,-,"$729,486",,
Zell Eaton,65,1,0,58/65,0,2,6,14,-,"$9,186",,
Bob Eastwood,577,3,0,341/577,4,2,17,35,-,"$1,546,106",,
Nico Echavarria,72,2,2,33/72,2,0,5,6,2023,"$6,058,711",,
Austin Eckroat,83,2,0,51/83,1,0,4,7,2023,"$8,693,529",,
J. Douglas Edgar,11,3,0,11/11,1,1,6,6,-,$0,,
John Edmundson,5,1,0,5/5,1,0,2,3,-,$0,,
Danny Edwards,416,5,0,265/416,1,4,18,35,-,"$1,212,304",,
David Edwards,555,4,0,352/555,9,4,28,65,-,"$4,773,198",,
Joel Edwards,393,1,0,194/393,1,1,9,19,-,"$4,286,415",,
Jerry Edwards,113,0,0,84/113,1,0,2,6,-,"$36,029",,
Bill Eggers,52,0,0,39/52,1,0,1,3,-,"$13,134",,
David Eger,71,0,0,30/71,0,0,1,1,-,"$461,988",,
Dave Eichelberger,784,4,0,457/784,6,2,21,49,-,"$1,186,505",,
Steve Eichstaedt,27,0,0,15/27,1,0,1,1,-,"$22,241",,
Steve Elkington,565,10,0,402/565,9,9,40,74,-,"$15,505,418",,
Lee Elder,448,4,0,326/448,10,6,26,55,-,"$1,020,514",,
Brad Elder,150,0,0,69/150,1,1,2,4,-,"$1,845,503",,
Vincent Eldred,43,0,0,35/43,1,2,4,7,-,$288,,
John Elliott,131,0,0,43/131,0,0,0,0,1992,"$289,543",,
Danny Ellis,113,0,0,53/113,0,0,0,4,-,"$1,355,910",,
Ken Ellsworth,45,0,0,29/45,0,0,0,2,-,"$12,870",,
Jack Ellis,25,0,0,14/25,0,0,0,1,-,"$1,043",,
Wes Ellis,196,3,0,176/196,5,2,19,37,-,"$134,810",,
Ernie Els,485,19,47,373/485,17,18,80,126,1994,"$49,385,600",,
Harrison Endycott,48,0,0,18/48,0,0,0,1,2023,"$953,112",,
Billy Emmons,32,0,0,15/32,0,0,0,0,-,"$1,190",,
Harris English,347,5,0,253/347,4,5,23,48,2012,"$34,096,267",,
"John Engler, Jr.",29,0,0,7/29,0,0,0,0,-,"$72,694",,
Bill Erfurth,31,0,0,16/31,0,0,0,0,-,$258,,
Bob Erickson,138,0,0,78/138,1,1,2,5,-,"$44,380",,
Derek Ernst,134,1,0,51/134,0,0,1,1,2013,"$2,311,651",,
Randy Erskine,116,0,0,67/116,1,0,2,4,-,"$64,877",,
Abe Espinosa,134,3,0,127/134,7,9,30,56,-,"$8,530",,
Al Espinosa,152,8,0,148/152,16,19,67,96,-,"$17,323",,
Don Essig,49,0,0,37/49,0,0,0,0,-,"$3,033",,
Bob Estes,656,4,0,446/656,10,8,40,91,1989,"$21,628,540",,
Jim Estes,33,0,0,8/33,0,0,0,0,-,"$73,438",,
Julián Etulain,50,0,5,27/50,0,0,1,1,2017,"$851,736",,
Tom Eubank,32,0,0,8/32,0,0,0,1,-,"$33,655",,
Max Evans,158,1,0,146/158,0,1,3,10,-,"$19,222",,
Charles Evans,24,1,0,20/24,0,1,3,7,-,$0,,
Chick Evans,50,0,0,24/50,0,0,0,0,-,"$7,330",,
Tom Evans,74,0,0,42/74,0,0,0,1,-,"$23,307",,
Tony Evans,35,0,0,23/35,0,0,0,0,-,"$4,767",,
Matt Every,279,2,0,119/279,3,3,10,21,2010,"$10,238,493",,
Jack Ewing,175,0,0,130/175,0,1,11,17,-,"$139,341",,
DPWT KFT QSchool Exemption,,,,,,,,,,,,
DPWT Korn Ferry Tour QSchool Exemption,,,,,,,,,,,,
Unrestricted Exemption #3,,,,,,,,,,,,
Joe Ezar,43,0,0,36/43,0,1,2,5,-,$425,,
Brad Fabel,436,0,0,232/436,2,3,11,28,-,"$2,636,911",,
Bill Ezinicki,90,0,0,58/90,0,0,0,5,-,"$10,190",,
Don Fairfield,325,3,0,283/325,6,3,24,61,-,"$150,563",,
Nick Faldo,306,9,33,229/306,7,6,32,52,-,"$6,045,627",,
Armand Farina,25,0,0,21/25,0,0,1,3,-,"$2,952",,
Charles Farlow,36,0,0,29/36,0,0,0,0,-,"$1,299",,
Sam Farlow,28,0,0,14/28,0,0,0,1,-,"$6,834",,
Billy Farrell,103,0,0,70/103,0,0,0,1,-,"$32,125",,
Paul Farmer,31,0,0,20/31,0,0,0,0,-,"$1,600",,
Johnny Farrell,231,22,0,222/231,23,32,109,155,-,"$15,751",,
Greg Farrow,26,0,0,3/26,0,0,0,0,-,"$2,700",,
Jake Fassezke,13,1,0,10/13,0,0,2,2,-,$364,,
Niclas Fasth,92,0,0,49/92,1,0,2,8,-,"$2,001,031",,
Derek Fathauer,154,0,0,74/154,0,1,2,5,2009,"$3,203,132",,
Brad Faxon,708,8,0,451/708,17,9,49,88,-,"$17,769,249",,
George Fazio,191,1,0,185/191,7,1,19,50,-,"$56,741",,
David Feherty,61,0,0,31/61,1,0,1,3,-,"$329,903",,
Rick Fehr,406,2,0,238/406,9,2,20,41,-,"$4,018,239",,
John Felus,35,0,0,17/35,0,0,0,0,-,"$1,689",,
Earl Fennell,31,0,0,17/31,0,0,0,0,-,"$6,465",,
Keith Fergus,407,3,0,272/407,1,6,21,38,-,"$1,546,009",,
Jack Ferenz,115,0,0,38/115,1,0,1,3,-,"$86,602",,
Ben Ferguson,32,0,1,7/32,0,0,0,1,2001,"$187,970",,
Gonzalo Fernandez-Castaño,111,0,7,64/111,0,1,2,4,2013,"$2,334,771",,
Jim Ferree,295,1,0,248/295,2,4,12,29,-,"$106,895",,
Gene Ferrell,56,0,0,34/56,0,0,2,3,-,"$15,759",,
Kenneth Ferrie,36,0,0,18/36,0,0,0,1,-,"$549,703",,
James Ferriell,110,0,0,89/110,0,1,3,8,-,"$91,943",,
Jim Ferrier,528,18,0,407/528,18,17,82,162,-,"$852,442",,
Mike Fetchick,234,3,0,189/234,1,1,9,15,-,"$52,044",,
Forrest Fezler,390,1,0,227/390,8,2,14,30,-,"$527,325",,
Andrew Filbert,6,0,0,0/6,0,0,0,0,-,$0,,
Tony Finau,273,6,0,216/273,11,4,35,65,2015,"$44,739,422",,
Dow Finsterwald,474,12,0,398/474,28,24,84,135,-,"$402,102",,
Todd Fischer,150,0,0,71/150,0,4,4,9,-,"$2,862,111",,
Ed Fiori,583,4,0,349/583,2,5,17,38,-,"$2,270,198",,
Patrick Fishburn,38,0,0,20/38,0,2,4,7,-,"$2,616,136",,
Ross Fisher,87,0,5,53/87,0,2,5,7,2009,"$1,820,166",,
M.C. Fitts,42,0,0,33/42,0,0,0,1,-,"$5,555",,
Steven Fisk,12,0,0,6/12,0,0,1,1,2025,$0,,
Alex Fitzpatrick,7,0,1,4/7,0,0,0,0,-,"$324,690",,
Woody Fitzhugh,53,0,0,8/53,0,0,0,0,-,"$8,448",,
Nick Flanagan,46,0,0,20/46,0,0,0,1,2007,"$564,191",,
Matt Fitzpatrick,164,2,8,125/164,3,1,14,34,2020,"$26,616,619",,
Pat Fitzsimons,136,1,0,69/136,0,0,5,11,-,"$153,542",,
Patrick Flavin,11,0,0,6/11,0,0,0,1,-,"$371,929",,
John Flannery,72,0,0,37/72,0,0,0,1,-,"$255,338",,
Jack Fleck,339,3,0,261/339,5,6,17,41,-,"$129,737",,
Tommy Fleetwood,153,0,8,130/153,5,5,25,39,2018,"$27,728,618",,
Marty Fleckman,229,1,0,125/229,0,3,8,13,-,"$162,141",,
Pete Fleming,120,0,0,93/120,1,0,2,4,-,"$14,936",,
Bruce Fleisher,460,1,2,280/460,4,2,11,25,-,"$1,695,111",,
Gary Floan,35,0,0,19/35,0,0,0,0,-,"$1,600",,
Steve Flesch,464,4,1,296/464,3,5,21,63,1998,"$18,299,945",,
Martin Flores,199,0,0,118/199,0,1,2,8,2010,"$5,057,859",,
Doug Ford,744,19,0,560/744,23,14,97,169,-,"$419,292",,
Raymond Floyd,726,22,20,581/726,24,13,89,163,1963,"$5,323,075",,
Jack Forrester,93,2,0,91/93,3,2,18,36,-,$521,,
Simon Forsström,4,0,2,0/4,0,0,0,0,-,$0,,
Dan Forsman,652,5,0,422/652,7,5,25,64,-,"$8,687,983",,
Erich Fortlage,1,0,0,0/1,0,0,0,0,-,$0,,
Ernie Fortner,34,0,0,20/34,0,0,0,0,-,$0,,
John Fought,205,2,0,106/205,0,0,7,12,-,"$387,036",,
Rickie Fowler,354,6,3,274/354,15,8,47,83,2010,"$51,195,434",,
Carlos Franco,290,4,6,174/290,1,5,11,24,1999,"$9,437,758",,
Jim Foulis,81,2,0,77/81,0,0,8,26,-,"$6,495",,
Ryan Fox,65,0,8,45/65,0,0,2,3,-,"$3,523,886",,
Marcus Fraser,25,0,5,19/25,0,0,0,0,-,"$269,009",,
Howell Fraser,101,0,0,58/101,0,0,2,5,-,"$28,860",,
Cody Freeman,28,0,0,6/28,0,0,0,0,-,"$68,673",,
Oscar Fraustro,28,0,0,11/28,0,0,0,1,2015,"$493,140",,
Harrison Frazar,409,1,0,225/409,5,6,19,37,1998,"$11,456,390",,
Robin Freeman,394,0,0,177/394,1,4,7,12,-,"$2,174,379",,
Emmet French,80,3,0,80/80,6,10,35,53,-,$585,,
Bob Friend,149,0,1,70/149,1,0,1,3,-,"$965,128",,
Brad Fritsch,71,0,1,38/71,0,0,0,4,2013,"$1,234,454",,
John Frillman,27,0,0,14/27,0,0,0,1,-,"$1,796",,
Charles Frost,4,0,0,0/4,0,0,0,0,-,$0,,
Dylan Frittelli,158,1,5,79/158,0,0,3,8,2019,"$6,897,787",,
Edward Fryatt,105,0,0,49/105,0,1,2,7,-,"$1,509,321",,
David Frost,532,10,3,333/532,13,8,45,84,-,"$9,195,639",,
Mark Fry,46,0,0,45/46,0,3,7,20,-,"$6,636",,
Frank Fuhrer,25,0,0,4/25,0,0,0,0,-,"$4,370",,
Yoshinori Fujimoto,3,0,2,2/3,0,0,0,0,-,"$20,073",,
Ken Fulton,37,0,0,20/37,0,0,0,0,-,"$6,293",,
Hiroyuki Fujita,29,0,20,13/29,0,0,0,1,-,"$277,100",,
Fred Funk,650,8,2,452/650,12,12,50,93,1989,"$21,310,437",,
Wilson Furr,29,0,0,7/29,0,0,0,0,2024,"$221,091",,
Marty Furgol,413,5,0,391/413,6,12,41,101,-,"$152,189",,
Rod Funseth,470,3,0,382/470,5,10,29,49,-,"$647,011",,
Ed Furgol,450,5,0,365/450,6,11,45,110,-,"$144,769",,
Jim Furyk,636,17,3,512/636,31,17,109,188,1994,"$71,507,269",,2010
Nick Gabrelcik,3,0,0,1/3,0,0,0,0,-,$0,,
Jack Gaines,3,1,0,3/3,1,0,2,2,-,$0,,
Brian Gaffney,6,0,0,1/6,0,0,0,0,-,"$17,900",,
Ray Gafford,55,0,0,46/55,0,0,3,5,-,"$6,182",,
Bobby Gage,28,0,0,6/28,0,0,0,0,-,"$40,091",,
Tommy Gainey,243,1,0,99/243,1,6,9,13,2008,"$6,068,708",,
Bob Gajda,134,0,0,121/134,0,0,0,4,-,"$13,825",,
Stephen Gallacher,41,0,5,21/41,0,0,0,1,-,"$491,441",,
"Jim Gallagher, Jr.",546,5,0,305/546,9,9,34,50,-,"$6,002,202",,
Jeff Gallagher,134,0,0,56/134,0,0,1,6,-,"$814,443",,
Leonard Gallett,11,3,0,10/11,2,0,5,6,-,$0,,
Bob Galloway,30,0,0,7/30,0,0,0,0,-,"$1,992",,
Francis Gallett,48,3,0,43/48,3,2,15,21,-,$433,,
Bill Galloway,40,0,0,9/40,0,0,0,0,-,"$2,991",,
Robert Gamez,552,3,1,276/552,8,4,21,38,1990,"$8,712,304",,
Ivan Gantz,44,0,0,30/44,0,0,0,0,-,"$1,077",,
Stephen Gangluff,61,0,0,22/61,0,0,0,0,-,"$342,187",,
Joey Garber,29,0,0,12/29,0,0,0,2,2019,"$523,704",,
Sergio Garcia,407,11,20,334/407,16,11,67,110,-,"$54,985,969",,
Scott Gardiner,44,0,0,13/44,0,0,0,0,2013,"$428,915",,
Tom Garner,69,0,0,21/69,0,0,0,0,-,"$41,203",,
Buddy Gardner,496,0,0,285/496,5,2,17,24,-,"$1,491,943",,
Brice Garnett,266,2,0,146/266,0,0,6,14,2014,"$8,547,635",,
Bill Garrett,221,1,0,137/221,0,0,1,6,-,"$107,610",,
Wright Garrett,44,0,0,31/44,0,0,2,3,-,"$16,658",,
Robert Garrigus,384,1,0,214/384,6,3,20,33,2006,"$14,986,941",,
Bobby Gates,101,0,0,35/101,0,0,2,5,2011,"$1,601,528",,
Jim Gauntt,45,0,0,35/45,0,4,4,10,-,"$10,260",,
Brian Gay,659,5,0,383/659,4,5,26,52,1999,"$24,242,019",,
Ed Gayer,31,0,0,24/31,1,0,2,5,-,$0,,
John Geertsen,26,0,0,22/26,0,0,3,7,-,"$2,361",,
Al Geiberger,581,11,0,472/581,13,9,63,120,-,"$1,265,188",,
Michael Gellerman,34,0,0,14/34,0,0,0,0,2020,"$324,078",,
Brent Geiberger,296,2,0,178/296,3,4,14,25,-,"$7,374,382",,
John Gentile,55,0,0,31/55,0,0,0,1,-,"$13,456",,
Ryan Gerard,35,0,0,23/35,1,0,3,4,2025,"$2,951,682",,
Chris Gers,54,0,0,25/54,0,0,0,0,-,$692,,
Doug Ghim,155,0,0,89/155,1,0,2,4,2020,"$7,527,028",,
